PREP,MS,SCHS,AGE65,EMP,F1040,F1040EZ,MTR,DEPS,LOGTPI,INCOME
no,single,0,no,not_selfemp,yes,no,0,2,7.48,52.36
no,single,0,no,not_selfemp,no,yes,0,1,5.77,320.99
no,single,0,no,not_selfemp,no,yes,0,1,6.53,686.02
no,single,0,no,not_selfemp,no,yes,0,1,6.91,1006.97
no,single,0,no,not_selfemp,no,yes,0,1,7.34,1545.03
no,single,0,no,not_selfemp,no,yes,0,1,7.41,1650.94
no,single,0,no,not_selfemp,yes,no,0,2,7.48,1769.94
no,single,0,no,not_selfemp,yes,no,0,1,7.51,1822.93
no,single,0,no,not_selfemp,no,yes,0,1,7.59,1986.04
no,single,0,no,not_selfemp,no,yes,0,1,7.67,2149.09
no,single,0,no,not_selfemp,no,yes,0,1,7.84,2549.88
no,single,0,no,not_selfemp,no,no,0,1,7.97,2900.97
no,single,0,no,not_selfemp,no,yes,0,1,8,2977.98
yes,single,0,no,not_selfemp,yes,no,0,1,8.09,3261.04
no,single,0,no,not_selfemp,no,yes,0,1,8.09,3267.89
no,single,0,yes,not_selfemp,no,no,0,2,8.12,3364.05
no,married,0,no,not_selfemp,no,no,0,5,8.24,3797.13
no,single,0,yes,not_selfemp,no,no,0,2,8.36,4276.97
no,single,0,no,not_selfemp,no,yes,0,1,8.09,4510.73
no,single,0,no,not_selfemp,yes,no,0,1,8.55,5152.82
yes,married,0,no,not_selfemp,yes,no,0,6,8.68,5889.93
no,married,0,yes,not_selfemp,yes,no,0,4,8.8,6617.02
yes,married,2,no,selfemp,yes,no,0,5,9.34,11228.51
yes,married,2,no,selfemp,yes,no,0,5,9.34,12508.65
yes,married,2,no,selfemp,yes,no,0,5,9.34,13591.2
yes,married,2,no,selfemp,yes,no,0,5,9.34,15105.49
yes,married,1,no,not_selfemp,yes,no,0,4,10.3,29346.85
yes,single,1,no,not_selfemp,yes,no,11,1,7.18,1313.04
yes,single,0,no,not_selfemp,yes,no,11,1,8.1,3301.06
no,single,0,no,not_selfemp,no,yes,11,1,8.12,3372.13
no,single,0,no,not_selfemp,no,yes,11,1,8.16,3497.14
no,single,0,no,not_selfemp,no,yes,11,1,8.37,3730.55
no,single,0,no,not_selfemp,no,yes,11,1,8.23,3760.85
no,single,0,no,not_selfemp,no,yes,11,1,8.34,4172.21
no,single,0,no,not_selfemp,no,yes,11,1,8.37,4331.2
no,single,0,yes,not_selfemp,yes,no,11,3,8.8,6605.78
no,single,0,no,not_selfemp,no,no,11,4,8.91,7393.82
no,single,0,no,not_selfemp,no,no,11,4,8.97,7865.17
yes,married,1,yes,not_selfemp,yes,no,11,4,9.17,8775.97
no,married,0,no,not_selfemp,no,no,11,3,9.17,9566.28
yes,married,1,yes,not_selfemp,yes,no,11,4,9.17,9643.12
yes,married,1,yes,not_selfemp,yes,no,11,4,9.17,11013.25
no,single,0,no,not_selfemp,no,yes,12,1,8.43,4565.12
no,single,0,no,not_selfemp,no,no,12,2,8.81,4931.97
no,single,0,no,not_selfemp,no,no,12,2,8.81,6721.05
no,single,0,no,not_selfemp,no,no,12,3,9.02,8232.13
yes,single,0,no,not_selfemp,no,no,12,3,9.09,8716.75
yes,married,0,yes,not_selfemp,yes,no,12,3,9.76,17411.74
no,married,1,no,not_selfemp,yes,no,12,4,10.03,22631.54
no,married,1,no,not_selfemp,yes,no,12,4,10.03,22842.73
no,single,0,no,not_selfemp,yes,no,12,3,10.27,28778.96
yes,single,0,no,not_selfemp,yes,no,14,1,8.67,6336.61
no,single,0,no,not_selfemp,no,yes,14,1,8.79,6559.7
no,single,1,no,not_selfemp,yes,no,14,1,8.84,6909.83
no,single,0,no,not_selfemp,no,yes,14,1,8.91,7188.77
no,single,0,no,not_selfemp,no,yes,14,1,8.91,7425.68
no,single,0,no,not_selfemp,no,yes,14,1,8.79,7443.63
no,single,0,no,not_selfemp,no,no,14,1,9.12,9129.81
yes,single,0,no,not_selfemp,yes,no,14,3,9.13,9247.42
yes,single,0,no,not_selfemp,yes,no,14,3,9.24,10300.01
no,single,0,no,not_selfemp,no,no,14,3,9.32,11119.99
yes,single,0,no,not_selfemp,yes,no,14,1,9.53,13828.68
yes,married,1,no,not_selfemp,yes,no,14,4,9.56,14120.74
yes,single,0,yes,not_selfemp,yes,no,14,2,9.58,14514.45
yes,single,0,no,not_selfemp,yes,no,14,1,9.6,14727.92
yes,married,1,yes,not_selfemp,no,no,14,3,9.6,14760.35
yes,single,0,yes,not_selfemp,yes,no,14,2,9.58,14808.21
yes,married,1,no,selfemp,yes,no,14,4,9.64,15324.38
yes,married,1,no,not_selfemp,yes,no,14,4,9.56,15875.58
yes,single,0,no,not_selfemp,yes,no,14,2,9.68,15941.8
yes,married,1,no,selfemp,yes,no,14,5,9.75,17097.71
yes,married,1,no,selfemp,yes,no,14,5,9.75,18256.28
yes,married,0,yes,selfemp,yes,no,14,4,10.11,24681.27
yes,married,1,no,not_selfemp,yes,no,14,5,10.38,32061.14
yes,single,2,no,not_selfemp,yes,no,15,1,8.77,4768.6
yes,single,2,no,not_selfemp,yes,no,15,1,8.77,6427.88
yes,single,2,no,not_selfemp,yes,no,15,1,8.77,7210.65
yes,single,0,no,not_selfemp,no,no,15,1,8.93,7577.97
yes,single,0,no,not_selfemp,no,no,15,1,8.93,8227.06
no,single,0,no,not_selfemp,no,yes,15,1,9.09,8854.67
no,single,0,no,not_selfemp,no,yes,15,1,9.11,9084.27
no,single,0,no,not_selfemp,no,no,15,2,9.17,9605.59
no,single,0,no,not_selfemp,no,no,15,2,9.17,11169.13
no,single,0,no,not_selfemp,no,yes,16,1,9.27,10654.1
no,single,0,no,not_selfemp,no,no,16,1,9.29,10832.43
no,single,0,no,not_selfemp,no,yes,16,1,9.3,10984.06
yes,single,1,no,not_selfemp,yes,no,16,1,9.54,12102.05
yes,single,1,no,not_selfemp,yes,no,16,1,9.54,13960.68
yes,married,1,no,selfemp,yes,no,16,3,9.71,15205.18
yes,married,1,no,selfemp,yes,no,16,3,9.71,16494.79
yes,single,0,yes,not_selfemp,yes,no,16,2,9.77,17005.7
yes,single,0,yes,not_selfemp,yes,no,16,2,9.77,17513.02
yes,married,1,no,selfemp,yes,no,16,3,9.78,17676.65
yes,single,0,yes,not_selfemp,yes,no,16,2,9.77,17792.37
no,married,0,no,not_selfemp,yes,no,16,3,9.85,18709.52
no,married,0,no,not_selfemp,yes,no,16,3,9.85,18967.84
yes,married,1,no,selfemp,yes,no,16,3,9.78,19625.97
