LocID,Deaths,DeathLon,DeathLat
1,3,-0.1379138,51.5134121
2,2,-0.1378743,51.5133622
3,1,-0.1378554,51.5133204
4,1,-0.1378032,51.5132683
5,4,-0.1377207,51.5131577
6,2,-0.1374858,51.5131205
7,2,-0.1381814,51.5133296
8,2,-0.1379671,51.513333
9,3,-0.1382633,51.5133055
10,2,-0.1382031,51.5134178
11,2,-0.1383218,51.5133663
12,1,-0.1385481,51.5135055
13,3,-0.1384031,51.5132287
14,1,-0.1383538,51.5131904
15,4,-0.138316,51.5131331
16,1,-0.1385739,51.5132534
17,1,-0.1386277,51.5131692
18,1,-0.1377969,51.5131256
19,4,-0.1377608,51.5130884
20,3,-0.1377098,51.5130202
21,2,-0.1387056,51.5134826
22,1,-0.1387371,51.5135742
23,2,-0.1389961,51.5134241
24,2,-0.1389159,51.5134104
25,2,-0.1388088,51.5134402
26,1,-0.1386695,51.513627
27,1,-0.1386982,51.5136682
28,3,-0.138795,51.5137679
29,1,-0.1388105,51.513639
30,1,-0.1391073,51.5135427
31,1,-0.1392431,51.5136831
32,1,-0.1391932,51.5134178
33,2,-0.139541,51.5135588
34,2,-0.1396797,51.5135043
35,1,-0.1400269,51.5132958
36,1,-0.1390666,51.513309
37,1,-0.1396304,51.5129807
38,1,-0.139227,51.5129612
39,2,-0.1392265,51.5128575
40,8,-0.1390718,51.5129371
41,2,-0.1389216,51.5130162
42,1,-0.1391124,51.5130477
43,1,-0.1383527,51.512826
44,1,-0.1386042,51.5128764
45,1,-0.1380874,51.5125189
46,1,-0.1380273,51.5124684
47,4,-0.1379791,51.5124237
48,1,-0.1380708,51.5124094
49,1,-0.1382031,51.512528
50,1,-0.1377826,51.5123584
51,1,-0.1377454,51.5124535
52,4,-0.137664,51.51252
53,1,-0.137613,51.512343
54,1,-0.1374256,51.5123556
55,1,-0.1373466,51.5123642
56,1,-0.137299,51.5122988
57,1,-0.136898,51.5125698
58,2,-0.1371042,51.5126065
59,1,-0.1369484,51.5126609
60,1,-0.1376457,51.51296
61,1,-0.1374875,51.512771
62,2,-0.1373827,51.5127899
63,1,-0.1373277,51.5127165
64,1,-0.1372721,51.5126638
65,2,-0.1374434,51.5129308
66,2,-0.1375557,51.5130282
67,1,-0.1374755,51.5130632
68,2,-0.1374079,51.5130884
69,3,-0.1373489,51.5131182
70,1,-0.1370584,51.513215
71,4,-0.1369913,51.5132265
72,15,-0.1369031,51.5132563
73,3,-0.1368063,51.5132912
74,4,-0.1367094,51.5133204
75,5,-0.1364614,51.5131921
76,2,-0.136235,51.513046
77,1,-0.136274,51.5129016
78,2,-0.1363542,51.5128747
79,1,-0.1364298,51.5128472
80,1,-0.1365347,51.5128151
81,1,-0.1366785,51.5127555
82,1,-0.136859,51.5127039
83,1,-0.1362138,51.5128517
84,1,-0.1365175,51.512732
85,1,-0.1364871,51.5126695
86,1,-0.1363897,51.5127171
87,1,-0.1362855,51.512622
88,1,-0.1363049,51.5124541
89,1,-0.1362568,51.5124146
90,1,-0.1361606,51.512426
91,1,-0.136125,51.5123785
92,2,-0.1360855,51.5123286
93,1,-0.1360391,51.5122559
94,1,-0.136215,51.5123155
95,4,-0.1358632,51.5119757
96,2,-0.1358649,51.5120427
97,1,-0.1358002,51.5120003
98,4,-0.135728,51.5119396
99,4,-0.1350502,51.5118697
100,1,-0.1351098,51.5120284
101,4,-0.1353023,51.5121974
102,1,-0.1352902,51.5120805
103,1,-0.1354037,51.5121573
104,2,-0.1357715,51.5125985
105,1,-0.135862,51.512618
106,2,-0.135909,51.5126862
107,3,-0.1359818,51.512744
108,1,-0.1360505,51.5127841
109,4,-0.1361187,51.5128368
110,1,-0.1360179,51.5128666
111,1,-0.1360614,51.5129194
112,7,-0.1352856,51.512803
113,3,-0.1351057,51.5128472
114,8,-0.1346021,51.5125618
115,1,-0.1344583,51.5122203
116,1,-0.1349298,51.5121682
117,5,-0.1350788,51.5132012
118,8,-0.1343408,51.5130729
119,2,-0.1344692,51.5131841
120,1,-0.1343924,51.5131285
121,1,-0.1345167,51.513231
122,2,-0.1345763,51.5133021
123,1,-0.1346319,51.513368
124,2,-0.1347047,51.5134155
125,2,-0.1351728,51.5134385
126,3,-0.134829,51.5134178
127,1,-0.1350828,51.5135043
128,2,-0.135292,51.5134688
129,2,-0.1349768,51.5135599
130,3,-0.1357406,51.5132614
